有効	ルールID	ルール種別	対象	開始月	終了月	条件	値	値種別	優先度	備考
TRUE	BUSY_05_07	繁忙期	全体	5	7		3300	金額	10	5月〜7月。メインメニューの数量ごとに加算
TRUE	BUSY_12	繁忙期	全体	12	12		3300	金額	10	12月。メインメニューの数量ごとに加算
TRUE	EARLY_01_02	早期予約割引	全体	1	2		0.15	率	20	1月〜2月：15%
TRUE	EARLY_03_04	早期予約割引	全体	3	4		0.1	率	20	3月〜4月：10%
TRUE	EARLY_08_10	早期予約割引	全体	8	10		0.1	率	20	8月〜10月：10%
TRUE	MULTI_NORMAL_05_10	複数台割引	ノーマルエアコン			totalQty:5-10	500	金額/台	30	総台数で判定
TRUE	MULTI_NORMAL_11_20	複数台割引	ノーマルエアコン			totalQty:11-20	1000	金額/台	30	総台数で判定
TRUE	MULTI_NORMAL_21_50	複数台割引	ノーマルエアコン			totalQty:21-50	1500	金額/台	30	総台数で判定
TRUE	MULTI_ROBO_05_10	複数台割引	ロボ付きエアコン			totalQty:5-10	1000	金額/台	30	総台数で判定
TRUE	MULTI_ROBO_11_20	複数台割引	ロボ付きエアコン			totalQty:11-20	1500	金額/台	30	総台数で判定
TRUE	MULTI_ROBO_21_50	複数台割引	ロボ付きエアコン			totalQty:21-50	2000	金額/台	30	総台数で判定
TRUE	MULTI_BUSINESS_02_10	複数台割引	業務用エアコン			totalQty:2-10	5000	金額/台	30	総台数で判定
TRUE	MULTI_BUSINESS_11_20	複数台割引	業務用エアコン			totalQty:11-20	6000	金額/台	30	総台数で判定
TRUE	MULTI_BUSINESS_21_50	複数台割引	業務用エアコン			totalQty:21-50	7000	金額/台	30	総台数で判定
TRUE	SET_M004	同時施工価格	M004				13800	金額	40	レンジフード（換気扇セット）
TRUE	SET_M006	同時施工価格	M006				13800	金額	40	キッチン（キッチンセット）
TRUE	SET_M007	同時施工価格	M007				13800	金額	40	浴室（浴室セット）
TRUE	SET_M008	同時施工価格	M008				15100	金額	40	追焚配管
TRUE	SET_M009	同時施工価格	M009			M006	5500	金額	40	コンロ（キッチンと同時のときだけ）
TRUE	SET_M010	同時施工価格	M010				6800	金額	40	洗面台（洗面台丸洗い）
TRUE	NET_BENEFIT	ネット申込特典	ネット申込特典				2200	金額(税込)	50	このページからのお申し込み特典
FALSE	INTRO_01_02	紹介料	全体	1	2		0.05	率	90	顧客割引か紹介元支払か未確定のため計算対象外
FALSE	INTRO_OTHER	紹介料	全体	3	12		0.1	率	90	顧客割引か紹介元支払か未確定のため計算対象外
